input_file,input_vertices,ring_count,target_vertices,total_areal_displacement
input_blob_with_two_holes.csv,36,3,18,57078.710000
input_blob_with_two_holes.csv,36,3,20,43546.180000
input_blob_with_two_holes.csv,36,3,24,21311.170000
input_blob_with_two_holes.csv,36,3,28,9142.274000
input_blob_with_two_holes.csv,36,3,32,2647.458000
input_blob_with_two_holes.csv,36,3,35,555.555600
input_comb_exterior.csv,22,1,4,2.297958
input_comb_exterior.csv,22,1,6,1.511291
input_comb_exterior.csv,22,1,10,0.831841
input_comb_exterior.csv,22,1,14,0.468483
input_comb_exterior.csv,22,1,18,0.235714
input_comb_exterior.csv,22,1,21,0.050000
input_lake_with_two_islands.csv,81,3,18,129980.600000
input_lake_with_two_islands.csv,81,3,24,89784.870000
input_lake_with_two_islands.csv,81,3,35,45190.950000
input_lake_with_two_islands.csv,81,3,50,19892.560000
input_lake_with_two_islands.csv,81,3,65,6767.666000
input_lake_with_two_islands.csv,81,3,80,111.111100
input_wavy_with_three_holes.csv,43,4,22,95831.910000
input_wavy_with_three_holes.csv,43,4,26,64736.350000
input_wavy_with_three_holes.csv,43,4,30,37462.960000
input_wavy_with_three_holes.csv,43,4,34,20657.750000
input_wavy_with_three_holes.csv,43,4,38,8093.989000
input_wavy_with_three_holes.csv,43,4,42,681.818200
