input_file,input_vertices,ring_count,target_vertices,median_runtime_seconds,median_peak_memory_kb
input_hole_grazes_exterior.csv,8,2,7,0.011144,3712
input_narrow_corridor.csv,8,2,7,0.010452,3712
input_rectangle_with_two_holes.csv,12,3,11,0.010606,3456
input_two_close_holes.csv,12,3,11,0.009756,3712
input_comb_exterior.csv,22,1,21,0.009427,3712
input_cushion_with_hexagonal_hole.csv,22,2,21,0.009050,3712
input_blob_with_two_holes.csv,36,3,35,0.009314,3712
input_wavy_with_three_holes.csv,43,4,42,0.009447,3712
input_lake_with_two_islands.csv,81,3,80,0.011094,3840
input_original_01.csv,1860,1,1859,0.019370,4480
input_original_05.csv,6230,1,6229,0.041507,6560
input_original_04.csv,6733,1,6732,0.046065,6816
input_original_08.csv,6850,1,6849,0.046582,6824
input_original_02.csv,8605,1,8604,0.054918,8556
input_original_10.csv,9899,1,9898,0.057627,8816
input_original_07.csv,10596,1,10595,0.061348,8964
input_original_06.csv,14122,1,14121,0.082608,10284
input_original_03.csv,74559,1,74558,0.396471,45696
input_original_09.csv,409998,1,409997,2.286527,199036
