"benchmark_type","dataset_name","family","input_vertices","ring_count","hole_count","target_vertices","target_ratio","run_index","elapsed_ms","peak_memory_bytes","actual_output_vertices","input_area","output_area","areal_displacement","status"
"target_sweep","convex_large_256","convex_large","256","1","0","230","0.9","1","147.18","4173824","230","31412.77","31412.77","0.9610214","reached_target"
"target_sweep","convex_large_256","convex_large","256","1","0","230","0.9","2","79.133","4177920","230","31412.77","31412.77","0.9610214","reached_target"
"target_sweep","convex_large_256","convex_large","256","1","0","192","0.75","1","99.412","4198400","192","31412.77","31412.77","2.365591","reached_target"
"target_sweep","convex_large_256","convex_large","256","1","0","192","0.75","2","205.177","4186112","192","31412.77","31412.77","2.365591","reached_target"
"target_sweep","convex_large_256","convex_large","256","1","0","128","0.5","1","299.807","4177920","128","31412.77","31412.77","6.375993","reached_target"
"target_sweep","convex_large_256","convex_large","256","1","0","128","0.5","2","319.56","4190208","128","31412.77","31412.77","6.375993","reached_target"
"target_sweep","convex_large_256","convex_large","256","1","0","89","0.35","1","233.413","4575232","89","31412.77","31412.77","13.40988","reached_target"
"target_sweep","convex_large_256","convex_large","256","1","0","89","0.35","2","334.118","4177920","89","31412.77","31412.77","13.40988","reached_target"
"target_sweep","convex_large_256","convex_large","256","1","0","64","0.25","1","315.26","4194304","64","31412.77","31412.77","29.04952","reached_target"
"target_sweep","convex_large_256","convex_large","256","1","0","64","0.25","2","283.353","4182016","64","31412.77","31412.77","29.04952","reached_target"
"target_sweep","many_holes_4x4","many_holes","68","17","16","61","0.9","1","41.667","4632576","61","50941.44","50941.44","1456.56","reached_target"
"target_sweep","many_holes_4x4","many_holes","68","17","16","61","0.9","2","42.951","4636672","61","50941.44","50941.44","1456.56","reached_target"
"target_sweep","many_holes_4x4","many_holes","68","17","16","51","0.75","1","41.965","3579904","52","50941.44","50941.44","3329.28","stopped_early"
"target_sweep","many_holes_4x4","many_holes","68","17","16","51","0.75","2","44.075","4636672","52","50941.44","50941.44","3329.28","stopped_early"
"target_sweep","many_holes_4x4","many_holes","68","17","16","51","0.5","1","44.894","4636672","52","50941.44","50941.44","3329.28","stopped_early"
"target_sweep","many_holes_4x4","many_holes","68","17","16","51","0.5","2","41.452","4317184","52","50941.44","50941.44","3329.28","stopped_early"
"target_sweep","many_holes_4x4","many_holes","68","17","16","51","0.35","1","34.222","4640768","52","50941.44","50941.44","3329.28","stopped_early"
"target_sweep","many_holes_4x4","many_holes","68","17","16","51","0.35","2","42.048","4190208","52","50941.44","50941.44","3329.28","stopped_early"
"target_sweep","many_holes_4x4","many_holes","68","17","16","51","0.25","1","43.564","4067328","52","50941.44","50941.44","3329.28","stopped_early"
"target_sweep","many_holes_4x4","many_holes","68","17","16","51","0.25","2","40.306","4186112","52","50941.44","50941.44","3329.28","stopped_early"
"target_sweep","near_collinear_320","near_collinear","320","1","0","288","0.9","1","103.526","4235264","288","4805.26","4805.26","0.05139599","reached_target"
"target_sweep","near_collinear_320","near_collinear","320","1","0","288","0.9","2","99.415","4235264","288","4805.26","4805.26","0.05139599","reached_target"
"target_sweep","near_collinear_320","near_collinear","320","1","0","240","0.75","1","192.674","4255744","240","4805.26","4805.26","0.3310027","reached_target"
"target_sweep","near_collinear_320","near_collinear","320","1","0","240","0.75","2","198.44","4251648","240","4805.26","4805.26","0.3310027","reached_target"
"target_sweep","near_collinear_320","near_collinear","320","1","0","160","0.5","1","397.57","4587520","160","4805.26","4805.26","1.726805","reached_target"
"target_sweep","near_collinear_320","near_collinear","320","1","0","160","0.5","2","486.097","4235264","160","4805.26","4805.26","1.726805","reached_target"
"target_sweep","near_collinear_320","near_collinear","320","1","0","112","0.35","1","471.421","4235264","112","4805.26","4805.26","4.027853","reached_target"
"target_sweep","near_collinear_320","near_collinear","320","1","0","112","0.35","2","521.499","4255744","112","4805.26","4805.26","4.027853","reached_target"
"target_sweep","near_collinear_320","near_collinear","320","1","0","80","0.25","1","519.528","4579328","80","4805.26","4805.26","8.239717","reached_target"
"target_sweep","near_collinear_320","near_collinear","320","1","0","80","0.25","2","389.191","4235264","80","4805.26","4805.26","8.239717","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","230","0.9","1","86.75","4575232","230","39186.01","39186.01","1.034131","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","230","0.9","2","112.148","4190208","230","39186.01","39186.01","1.034131","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","192","0.75","1","214.979","4579328","192","39186.01","39186.01","7.74435","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","192","0.75","2","190.66","4173824","192","39186.01","39186.01","7.74435","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","128","0.5","1","269.775","4202496","128","39186.01","39186.01","37.95197","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","128","0.5","2","330.289","4173824","128","39186.01","39186.01","37.95197","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","89","0.35","1","295.406","4579328","89","39186.01","39186.01","93.4591","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","89","0.35","2","300.958","4182016","89","39186.01","39186.01","93.4591","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","64","0.25","1","191.524","4210688","64","39186.01","39186.01","173.6105","reached_target"
"target_sweep","wavy_boundary_256","wavy_boundary","256","1","0","64","0.25","2","234.319","4177920","64","39186.01","39186.01","173.6105","reached_target"
