"dataset_name","family","input_vertices","target_vertices","target_ratio","avg_elapsed_ms","avg_peak_memory_bytes","avg_areal_displacement","avg_actual_output_vertices","statuses"
"convex_large_256","convex_large","256","64","0.25","299.306","4188160","29.04952","64","reached_target"
"convex_large_256","convex_large","256","89","0.35","283.766","4376576","13.40988","89","reached_target"
"convex_large_256","convex_large","256","128","0.5","309.684","4184064","6.375993","128","reached_target"
"convex_large_256","convex_large","256","192","0.75","152.294","4192256","2.365591","192","reached_target"
"convex_large_256","convex_large","256","230","0.9","113.156","4175872","0.9610214","230","reached_target"
"many_holes_4x4","many_holes","68","51","0.35","38.135","4415488","3329.28","52","stopped_early"
"many_holes_4x4","many_holes","68","51","0.5","43.173","4476928","3329.28","52","stopped_early"
"many_holes_4x4","many_holes","68","51","0.25","41.935","4126720","3329.28","52","stopped_early"
"many_holes_4x4","many_holes","68","51","0.75","43.02","4108288","3329.28","52","stopped_early"
"many_holes_4x4","many_holes","68","61","0.9","42.309","4634624","1456.56","61","reached_target"
"near_collinear_320","near_collinear","320","80","0.25","454.36","4407296","8.239717","80","reached_target"
"near_collinear_320","near_collinear","320","112","0.35","496.46","4245504","4.027853","112","reached_target"
"near_collinear_320","near_collinear","320","160","0.5","441.833","4411392","1.726805","160","reached_target"
"near_collinear_320","near_collinear","320","240","0.75","195.557","4253696","0.3310027","240","reached_target"
"near_collinear_320","near_collinear","320","288","0.9","101.47","4235264","0.05139599","288","reached_target"
"wavy_boundary_256","wavy_boundary","256","64","0.25","212.921","4194304","173.6105","64","reached_target"
"wavy_boundary_256","wavy_boundary","256","89","0.35","298.182","4380672","93.4591","89","reached_target"
"wavy_boundary_256","wavy_boundary","256","128","0.5","300.032","4188160","37.95197","128","reached_target"
"wavy_boundary_256","wavy_boundary","256","192","0.75","202.82","4376576","7.74435","192","reached_target"
"wavy_boundary_256","wavy_boundary","256","230","0.9","99.449","4382720","1.034131","230","reached_target"
